Alabama,2000,Brain and Other Nervous System,Female,146
Alabama,2000,Brain and Other Nervous System,Male,150
Alabama,2000,Breast,Female,2964
Alabama,2000,Breast,Male,29
Alabama,2000,Cervix Uteri,Female,237
Alabama,2000,Colon and Rectum,Female,1159
Alabama,2000,Colon and Rectum,Male,1146
Alabama,2000,Corpus Uteri,Female,420
Alabama,2000,Esophagus,Female,54
Alabama,2000,Esophagus,Male,157
Alabama,2000,Gallbladder,Female,28
Alabama,2000,Kidney and Renal Pelvis,Female,192
Alabama,2000,Kidney and Renal Pelvis,Male,315
Alabama,2000,Larynx,Female,41
Alabama,2000,Larynx,Male,202
Alabama,2000,Leukemias,Female,197
Alabama,2000,Leukemias,Male,247
Alabama,2000,Liver,Female,54
Alabama,2000,Liver,Male,122
Alabama,2000,Lung and Bronchus,Female,1298
Alabama,2000,Lung and Bronchus,Male,2142
Alabama,2000,Melanoma of the Skin,Female,250
Alabama,2000,Melanoma of the Skin,Male,332
Alabama,2000,Myeloma,Female,116
Alabama,2000,Myeloma,Male,141
Alabama,2000,Non-Hodgkin Lymphoma,Female,342
Alabama,2000,Non-Hodgkin Lymphoma,Male,369
Alabama,2000,Oral Cavity and Pharynx,Female,152
Alabama,2000,Oral Cavity and Pharynx,Male,382
Alabama,2000,Ovary,Female,353
Alabama,2000,Pancreas,Female,240
Alabama,2000,Pancreas,Male,238
Alabama,2000,Prostate,Male,2793
Alabama,2000,Stomach,Female,115
Alabama,2000,Stomach,Male,184
Alabama,2000,Thyroid,Female,177
Alabama,2000,Thyroid,Male,58
Alabama,2000,Urinary Bladder invasive and in situ,Female,167
Alabama,2000,Urinary Bladder invasive and in situ,Male,548
Alabama,2001,Brain and Other Nervous System,Female,144
Alabama,2001,Brain and Other Nervous System,Male,157
Alabama,2001,Breast,Female,3101
Alabama,2001,Breast,Male,20
Alabama,2001,Cervix Uteri,Female,232
Alabama,2001,Colon and Rectum,Female,1124
Alabama,2001,Colon and Rectum,Male,1213
Alabama,2001,Corpus Uteri,Female,416
Alabama,2001,Esophagus,Female,52
Alabama,2001,Esophagus,Male,174
Alabama,2001,Gallbladder,Female,22
Alabama,2001,Gallbladder,Male,21
Alabama,2001,Kidney and Renal Pelvis,Female,219
Alabama,2001,Kidney and Renal Pelvis,Male,337
Alabama,2001,Larynx,Female,45
Alabama,2001,Larynx,Male,197
Alabama,2001,Leukemias,Female,247
Alabama,2001,Leukemias,Male,263
Alabama,2001,Liver,Female,53
Alabama,2001,Liver,Male,113
Alabama,2001,Lung and Bronchus,Female,1352
Alabama,2001,Lung and Bronchus,Male,2291
Alabama,2001,Melanoma of the Skin,Female,285
Alabama,2001,Melanoma of the Skin,Male,347
Alabama,2001,Myeloma,Female,127
Alabama,2001,Myeloma,Male,141
